Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenet,resnet18,0.69758,0.7201774695518985,0.28015624648246124,1.0839474918155911,0.0010000001814146526,0.0006278685515514963,27.623414300584795,809.1595476230622,0.6164130811881056,0.18090946494948118,0.11456134124424601,1.2096943350563558,-0.1668119432401657,0.6144881693193639
imagenet,resnet34,0.73314,0.7678037980119139,0.2599382795888709,0.8741677453390085,0.0010000002097245305,0.0006854309872294152,28.392337888784407,843.342880204773,0.5269697560314993,0.18628105371497572,0.1269793848602837,1.254540180627008,-0.11215729789018632,0.6693937968304808
imagenet,resnet101,0.77374,0.8226801184078493,0.23363925153756177,0.6360291232691752,0.0010000002239434979,0.0007563447936041711,29.17342347205162,878.9842532546616,0.41473100331065454,0.19147275273237377,0.14266710541042224,1.301357757153943,-0.04771842122554779,0.7365813506567165
imagenet,resnet152,0.78312,0.8331403292528726,0.22722494743112923,0.5930381859783753,0.0010000002313405275,0.0007696190818601917,29.32115975713253,886.0009797459412,0.3942347113064493,0.1923637337287143,0.1456262229038747,1.3127548127179325,-0.03284055277824402,0.7499418075726803
imagenet,vgg16,0.71592,0.7398187017942592,0.2762127706818654,0.9786985890043306,0.001000000141132623,0.0006539129807233349,27.854527863602637,819.4996511626052,0.5785152885075233,0.1833402334946394,0.12011980616051371,1.223743021727273,-0.14938835739850997,0.636809186255721
imagenet,vgg19,0.72376,0.7472268920699693,0.2738814243805326,0.9482161725221996,0.001000000142797362,0.0006633169415024554,27.96492443198204,824.4546044297409,0.5624119262897355,0.18400560356751083,0.12220880377525187,1.2285455882036667,-0.14280689063072205,0.6454065094358535
imagenet,alexnet,0.56522,0.5830045132459142,0.30920539647565715,1.7241746942898803,0.0010000001353118568,0.0004693931572704059,25.233429437975882,705.8550423661042,0.8519464552287281,0.1620803104718402,0.08164741927032386,1.0937434517242166,-0.30816488218069077,0.4668536961975514
imagenet,resnext,0.8283,0.4287520837162435,0.16687420538742165,4.251528580505139,0.0010000000320980326,0.00021784401485818534,29.337646515626908,887.5040128279877,0.48235681275530196,0.10049526555489749,0.040906028678897616,1.3229791382248397,-0.019410976014137268,0.38403566338385964
imagenet,wide_resnet,0.82514,0.70008131370835,0.1896040144320515,2.1590473239570978,0.001000000031106174,0.0005380558280710102,29.83037538101196,909.9107213842774,0.35706400459606247,0.15738946578960866,0.10299200291379362,1.350737583631831,0.02006824231147766,0.6423405994041251
imagenet,densenet121,0.74434,0.7672847224698961,0.2588404887555742,0.8825882113501212,0.001000000211589504,0.0006837368599946786,28.41461542503357,844.4648361699295,0.5296666943957826,0.18616136518022044,0.12661754315216128,1.2562669028738507,-0.10828757228851318,0.6694786012329798
