,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
0,imagenetsketch,vgg19,0.5443962618144662,0.3482047262644113,0.002176540927784687,-1.7867274877600332,6.39536999746948e-11,0.0003955932111229,5.997110987885694,258.5772863741455,-0.5761466157348744,0.0516926625464485,0.08086096103215129,0.28996103949126606,0.3629380359554902,0.368617796208473
1,imagenet-r,resnet50,-0.13734000000000002,-0.3265908271189702,-0.013673453964395593,2.454791465031504,1.857999865073623e-12,-0.00035142131718359995,-1.816465353145599,-89.25307447658543,0.30891144558032985,-0.0548593664004282,-0.0705619994444388,-0.1528591564129438,-0.2220801489925384,-0.354310370471509
2,imagenet-r,resnet18,-0.18391999999999997,-0.17388499616330189,0.08580997288072398,0.6490018175332333,1.1505789983962122e-10,-0.00020237083844379996,-2.3802133370876284,-110.41073775672908,0.32217035365354857,-0.013257067666836098,-0.0454700045954636,-0.1656947255280068,-0.2284728586030006,-0.2297087217449577
3,imagenet-r,resnet34,-0.16986,-0.15396348626738532,0.0899273577880271,0.5439573481463444,1.3894399996869367e-10,-0.0001842256753793,-2.023329091482161,-95.71435636367778,0.2987087506397305,-0.009680270877704011,-0.0421803469715937,-0.15201626062106088,-0.2205100850629806,-0.21431969586461386
4,imagenet-r,resnet101,-0.15505999999999998,-0.12313364057878473,0.09098448536214812,0.41190683843578096,1.4919320011179404e-10,-0.00015298728714189993,-1.6313291875553126,-78.44292500766767,0.25492482626736956,-0.006077109568230876,-0.035745945206354796,-0.13267310652525732,-0.1955602045583724,-0.18081745820984607
5,imagenet-r,resnet152,-0.14917999999999998,-0.1175562241392466,0.0873588060612725,0.3860465302545503,1.5682309986199405e-10,-0.00014678714998490004,-1.5133446798372248,-73.00870549652097,0.24677192557650873,-0.005333578493706803,-0.03448005958916231,-0.12390996462080506,-0.1870833271098136,-0.17574058255992653
6,imagenet-r,vgg16,-0.17778000000000005,-0.17312233285508793,0.0970438919143973,0.6161688597223285,8.61380999080813e-11,-0.00020026428253240006,-2.3736548392248125,-110.56436487514497,0.323321186813991,-0.012227268188893692,-0.04532500039987129,-0.16643998712013608,-0.23540497537612898,-0.23367263143309902
7,imagenet-r,vgg19,-0.1729400000000001,-0.16841597209009707,0.09660193272826528,0.5981441671547443,8.72671999767316e-11,-0.00019633436452770007,-2.296302586565016,-107.3784190687943,0.317037278323551,-0.011607012819126294,-0.044565072841488904,-0.16473074446901848,-0.2345613501071929,-0.22795077461130975
8,imagenetsketch,alexnet,0.4580301235974926,0.24761873923269578,0.08447610829655969,-1.232486851934882,6.834279995225623e-11,0.00027138238075230005,4.582495525241374,195.92562564829421,-0.3933520477664507,0.038870298442008205,0.0543186349064267,0.20842399609481532,0.2548179709578997,0.2538000217510018
9,imagenet-r,alexnet,-0.20388000000000006,-0.21430070054923767,0.053704966925130604,0.9124384630745388,7.979339996903867e-11,-0.00022662233651890004,-3.176823809332852,-139.90367868797296,0.3342482902005065,-0.024578515514619592,-0.04783938229254829,-0.1768644551628813,-0.22855614655971523,-0.24799361297467554
10,imagenet-r,resnext,-0.12469999999999992,-0.3076595378915965,-0.011058893239977108,2.4156452083053006,-3.0029993249025555e-13,-0.00035297757175629994,-1.200634015779496,-62.02351272736064,0.2458700868406374,-0.05319333004236229,-0.07108236217247729,-0.11947639174672076,-0.17890845051765428,-0.3340480860414719
11,imagenet-r,googlenet,-0.18852000000000002,-0.2100578577725476,0.06224470891123621,1.014243243851038,5.008200017891928e-12,-0.00023671781490320004,-2.7165361591339128,-125.30691746234902,0.34653261615589953,-0.02113865616774191,-0.051342808753475494,-0.18452244171515897,-0.2568772484374046,-0.2625007301505209
12,imagenet-a,resnet50,-0.13794000000000006,-0.3137272658461519,-0.03254113967089309,2.455148246927429,-2.0186001307986867e-12,-0.0003565253590763,-1.8447433969163889,-90.9060024895764,0.31759426139435976,-0.054139589657057105,-0.0719698829634595,-0.15761129779900496,-0.2350174224829674,-0.34015316362836306
13,imagenet-a,resnet18,-0.17632000000000003,-0.15528194300945852,0.06328374486454078,0.6151252859494307,1.216120999476128e-10,-0.00019942392696640002,-2.331260424661636,-109.01996206245428,0.32195000526562045,-0.011763637845106506,-0.045332419110089894,-0.17032148174913253,-0.2415889182162284,-0.20991126625227075
14,imagenet-a,resnet34,-0.16635999999999995,-0.13628844222553071,0.06758105684727478,0.5150391501513356,1.4391499992584544e-10,-0.00018017747429749994,-1.9560651295948013,-93.1452644752502,0.2967196635135546,-0.008476657771170099,-0.04165462804048639,-0.15317342713751536,-0.2247578855681419,-0.19274627819413048
15,imagenet-a,resnet101,-0.15426000000000006,-0.11396276444738729,0.07641469429642661,0.3990629035957295,1.5571240000525344e-10,-0.00015342180817679994,-1.6258071068477626,-78.71735411533359,0.2587746184262339,-0.005372253863178189,-0.036147515988172785,-0.13660480953834608,-0.2057943641352652,-0.17041780745782387
16,imagenet-a,resnet152,-0.14998,-0.10908759903987852,0.076348726409072,0.3803918376891653,1.607346998555581e-10,-0.00014843375890489998,-1.5314734707880007,-74.13284483596794,0.25195866539226774,-0.004895613080523914,-0.03507684867504329,-0.12840223440145504,-0.1958734595847129,-0.16437660457719094
17,imagenet-a,vgg16,-0.16968000000000005,-0.15205176203820858,0.0716843165763717,0.5843494864181478,8.910659991985537e-11,-0.00019654543855740004,-2.2859530378293975,-107.05578232128153,0.3209137733312971,-0.010893755345866007,-0.04492604014850869,-0.1659637232598492,-0.2370709359383582,-0.2077631959164299
18,imagenet-a,vgg19,-0.16664,-0.14904982118843124,0.07253337901175669,0.5693630746185623,9.219160005714822e-11,-0.00019316119797169998,-2.2416262780284875,-105.16910236118304,0.3157370919122503,-0.010442543150857103,-0.04425973034415061,-0.1658915028480734,-0.2352899349808692,-0.20559022183689846
19,imagenet-a,alexnet,-0.19618000000000002,-0.18119261051407076,0.03129961899149292,0.8383692666071013,8.521830008149933e-11,-0.0002152214678412,-3.022398208279615,-134.40061402656556,0.3242068489629769,-0.02155911961931728,-0.0461405734050795,-0.17986724416574829,-0.2389313070392608,-0.21542154204452474
20,imagenetsketch,resnext,0.5026825037825942,0.1605998067879933,-0.015082303743896408,-0.5737855262984395,-7.271000208169953e-13,0.00010209107838569999,5.394203522245096,237.02055475948578,-0.5381054836645263,0.019157496929048903,0.0218959107199129,0.2814666107132271,0.35971332174209897,0.18284751444450698
21,imagenetsketch,wide_resnet,0.4927433090330314,0.25195402093356123,-0.0626181369772651,-1.2084562231445868,-8.543001375760362e-13,0.0002537678217217,4.370855601330504,197.93328809430534,-0.5296260324141231,0.0320059956652394,0.05361239530717,0.2594142164317379,0.34587732635546736,0.28818643072909533
22,imagenetsketch,densenet121,0.501860976204044,0.3230254157233301,-0.02535816472133362,-1.6568316883998486,1.3661640005033227e-10,0.00037153438405029994,5.3162693774682666,231.96821320884658,-0.5330428420926863,0.04678453380679229,0.07630190537612411,0.26781690315116014,0.3381932852389062,0.34695627421695835
23,imagenetsketch,googlenet,0.46722842899530365,0.3391637227533693,0.04517261885093671,-2.100169156688122,7.47570018042043e-12,0.000345808359006,6.3001479629566575,262.47271575155,-0.4877488980817839,0.06376286350982999,0.0667615157813958,0.26628337477380626,0.32046898982878314,0.3295778281654811
24,imagenetsketch,mobilenet,0.5219372769251931,0.22423493864181965,0.1035570115175283,-1.296303657920153,1.0923000785117987e-12,0.00014933639824768987,8.388807183681475,327.9269841327628,-0.4353900363059868,0.0473199900199161,0.0278308868023606,0.29007086694570405,0.3398684945454378,0.2071126547257804
25,imagenet-r,wide_resnet,-0.12736000000000003,-0.1928240108875653,0.017601713615788495,1.3755445094422443,-1.7695001280210176e-12,-0.0002760538779176,-0.9714473236250889,-50.68215537761205,0.20993232667953282,-0.025133140163291295,-0.057937219569496795,-0.10107710908893996,-0.1537767201423645,-0.23405570035900403
26,imagenet-r,densenet121,-0.16796,-0.15478416329070233,0.0910029328298379,0.5567024191471153,1.4185679996121803e-10,-0.00018825224124380008,-2.0691559325981146,-97.82594759319306,0.30525495464844465,-0.009867922304812815,-0.043097458200144795,-0.15496806307630662,-0.2241144626975058,-0.21437013470221356
27,imagenet-r,mobilenet,-0.17414000000000007,-0.3034655591318597,-0.013415488723819702,2.170340928300079,3.3759995667070886e-13,-0.0002836666600297,-3.5678661389732333,-159.2234903721428,0.3687127230130427,-0.05104539527475831,-0.055902970897114504,-0.21105809945039344,-0.2825828423929214,-0.3207582682057325
28,imagenet-a,resnext,-0.13129999999999997,-0.3044199154176004,-0.026615159139678907,2.424073771582072,-4.982000055553382e-13,-0.00035967343409749994,-1.2341951973128324,-64.04794113927346,0.25958817668972933,-0.052793892482454,-0.0727941564900447,-0.12826775087250852,-0.1954919581866263,-0.330883163748202
29,imagenet-a,wide_resnet,-0.13026000000000004,-0.182824070011247,0.005243230514630187,1.3658466421556197,-1.932500166834661e-12,-0.00027840305912290003,-1.0211543531942375,-53.379054277858586,0.2191648711310701,-0.02435056816793979,-0.0587805737180602,-0.107440384319057,-0.1669752258419991,-0.22463951612544153
