Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenetsketch,vgg19,0.179363738,0.399022166,0.271704883,2.73494366,0.001,0.000267724,21.96781344,565.8773181,1.138558542,0.132312941,0.041347843,0.938584549,-0.505744927,0.276788713
imagenet_with_labels_of_imagenet-r,resnet50,0.9459,0.723395948,0.190277789,1.923232547,0.001,0.000546822,30.28138363,937.7814236,0.290384861,0.151657282,0.106654674,1.428422396,0.139588123,0.701227997
imagenet_with_labels_of_imagenet-r,resnet18,0.8815,0.894062466,0.194346274,0.434945674,0.001,0.000830239,30.00362764,919.5702854,0.294242728,0.194166533,0.160031346,1.375389061,0.061660915,0.844196891
imagenet_with_labels_of_imagenet-r,resnet34,0.903,0.921767284,0.170010922,0.330210397,0.001,0.000869657,30.41566698,939.0572366,0.228261005,0.195961325,0.169159732,1.406556441,0.108352787,0.883713493
imagenet_with_labels_of_imagenet-r,resnet101,0.9288,0.945813759,0.142654766,0.224122285,0.001,0.000909332,30.80475266,957.4271783,0.159806177,0.197549862,0.178413051,1.434030864,0.147841783,0.917398809
imagenet_with_labels_of_imagenet-r,resnet152,0.9323,0.950696553,0.139866141,0.206991656,0.001,0.000916406,30.83450444,959.0096852,0.147462786,0.197697312,0.180106282,1.436664777,0.154242774,0.92568239
imagenet_with_labels_of_imagenet-r,vgg16,0.8937,0.912941035,0.179168879,0.362529729,0.001,0.000854177,30.2281827,930.064016,0.255194102,0.195567502,0.165444807,1.390183009,0.086016618,0.870481818
imagenet_with_labels_of_imagenet-r,vgg19,0.8967,0.915642864,0.177279492,0.350072005,0.001,0.000859651,30.26122702,931.8330235,0.245374648,0.195612616,0.166773877,1.393276333,0.091754459,0.873357284
imagenetsketch,alexnet,0.107189876,0.335385774,0.224729288,2.956661546,0.001,0.000198011,20.65093391,509.9294167,1.245298503,0.123210012,0.027328784,0.885319456,-0.562982853,0.213053674
imagenet_with_labels_of_imagenet-r,alexnet,0.7691,0.797305214,0.25550043,0.811736231,0.001,0.000696015,28.41025325,845.7587211,0.517698165,0.186658826,0.129486802,1.270607907,-0.079608736,0.714847309
imagenet_with_labels_of_imagenet-r,resnext,0.953,0.736411622,0.177933099,1.835883372,0.001,0.000570822,30.53828053,949.5275256,0.236486726,0.153688596,0.111988391,1.44245553,0.159497475,0.718083749
imagenet_with_labels_of_imagenet-r,googlenet,0.8863,0.845213087,0.235408093,0.814885936,0.001,0.000754918,29.6485179,904.9600429,0.366357577,0.184195969,0.145160232,1.365677443,0.050560298,0.796812988
imagenet_with_labels_of_imagenet-a,resnet50,0.9465,0.710532387,0.209145475,1.922875765,0.001,0.000551926,30.30966167,939.4343516,0.281702046,0.150937505,0.108062558,1.433174538,0.152525397,0.68707079
imagenet_with_labels_of_imagenet-a,resnet18,0.8739,0.875459413,0.216872502,0.468822206,0.001,0.000827292,29.95467473,918.1795097,0.294463076,0.192673103,0.15989376,1.380015817,0.074776975,0.824399436
imagenet_with_labels_of_imagenet-a,resnet34,0.8995,0.90409224,0.192357223,0.359128595,0.001,0.000865608,30.34840302,936.4881447,0.230250093,0.194757711,0.168634013,1.407713608,0.112600588,0.862140075
imagenet_with_labels_of_imagenet-a,resnet101,0.928,0.936642883,0.157224557,0.23696622,0.001,0.000909767,30.79923058,957.7016074,0.155956385,0.196845007,0.178814621,1.437962567,0.158075943,0.906999158
imagenet_with_labels_of_imagenet-a,resnet152,0.9331,0.942227928,0.150876221,0.212646348,0.001,0.000918053,30.85263323,960.1338246,0.142276046,0.197259347,0.180703072,1.441157047,0.163032907,0.914318412
imagenet_with_labels_of_imagenet-a,vgg16,0.8856,0.891870464,0.204528454,0.394349103,0.001,0.000850458,30.1404809,926.5554335,0.257601515,0.194233989,0.165045846,1.389706745,0.087682579,0.844572382
imagenet_with_labels_of_imagenet-a,vgg19,0.8904,0.896276713,0.201348045,0.378853098,0.001,0.000856478,30.20655071,929.6237068,0.246674834,0.194448147,0.166468534,1.394437091,0.092483044,0.850996731
imagenet_with_labels_of_imagenet-a,alexnet,0.7614,0.764197124,0.277905777,0.885805428,0.001,0.000684615,28.25582765,840.2556564,0.527739606,0.18363943,0.127787993,1.273610696,-0.069233575,0.682275238
imagenetsketch,resnext,0.325617496,0.268152277,0.181956509,4.825314107,0.001,0.000115753,23.94344299,650.4834581,1.020462296,0.081337769,0.019010118,1.041512528,-0.379124298,0.201188149
imagenetsketch,wide_resnet,0.332396691,0.448127293,0.252222151,3.367503547,0.001,0.000284288,25.45951978,711.9774333,0.886690037,0.12538347,0.049379608,1.091323367,-0.325809084,0.354154169
imagenetsketch,densenet121,0.242479024,0.444259307,0.284198653,2.5394199,0.001,0.000312202,23.09834605,612.496623,1.062709536,0.139376831,0.050315638,0.98845,-0.446480858,0.322522327
imagenetsketch,googlenet,0.230551571,0.295991506,0.252480183,3.929298336,0.001,0.000172392,20.63183377,517.1804097,1.200639092,0.099294449,0.027055907,0.914871626,-0.526785941,0.20473443
imagenetsketch,mobilenet,0.199622723,0.124374458,0.140493338,5.62158328,0.001,4.19E-05,16.73530077,378.5668111,1.356989965,0.047761566,0.006045505,0.833938699,-0.612611007,0.077439501
imagenet_with_labels_of_imagenet-r,wide_resnet,0.9525,0.892905325,0.172002301,0.783502815,0.001,0.00081411,30.8018227,960.5928768,0.147131678,0.182522606,0.160929222,1.451814693,0.173844962,0.8763963
imagenet_with_labels_of_imagenet-r,densenet121,0.9123,0.922068886,0.167837556,0.325885792,0.001,0.000871989,30.48377136,942.2907838,0.22441174,0.196029287,0.169715001,1.411234966,0.11582689,0.883848736
imagenet_with_labels_of_imagenet-r,mobilenet,0.8957,0.652074956,0.257465838,2.154938694,0.001,0.000474952,28.69197409,865.7172856,0.552887205,0.146126952,0.089779363,1.335067665,0.00984033,0.605310424
imagenet_with_labels_of_imagenet-a,resnext,0.9596,0.733171999,0.193489365,1.827454809,0.001,0.000577517,30.57184171,951.551954,0.222768636,0.153289158,0.113700185,1.451246889,0.176080982,0.714918827
imagenet_with_labels_of_imagenet-a,wide_resnet,0.9554,0.882905384,0.184360784,0.793200682,0.001,0.000816459,30.85152973,963.2897757,0.137899133,0.181740034,0.161772577,1.458177968,0.187043468,0.866980116
imagenet_with_labels_of_imagenet-a,densenet121,0.9078,0.909192821,0.185594551,0.345528441,0.001,0.000871495,30.45228203,941.3398975,0.221005149,0.195034896,0.170002877,1.412893534,0.121133467,0.869404129
imagenet_with_labels_of_imagenet-a,googlenet,0.8747,0.82072044,0.257007076,0.856904262,0.001,0.000751296,29.54568604,901.0408622,0.36542585,0.182206359,0.145009717,1.362649531,0.054039598,0.770263831
imagenet_with_labels_of_imagenet-a,mobilenet,0.8927,0.627519,0.277442213,2.182112307,0.001,0.000478242,28.56903189,862.5519575,0.540358431,0.143711941,0.09120307,1.343604839,0.027244374,0.582094408
imagenet,resnet50,0.80856,0.396805121,0.176604335,4.378024012,0.001,0.0001954,28.46491828,848.5283491,0.599296307,0.096797916,0.036092675,1.27556324,-0.082492026,0.346917626
imagenet,resnet18,0.69758,0.72017747,0.280156246,1.083947492,0.001,0.000627869,27.6234143,809.1595476,0.616413081,0.180909465,0.114561341,1.209694335,-0.166811943,0.614488169
imagenet,resnet34,0.73314,0.767803798,0.25993828,0.874167745,0.001,0.000685431,28.39233789,843.3428802,0.526969756,0.186281054,0.126979385,1.254540181,-0.112157298,0.669393797
imagenet,resnet101,0.77374,0.822680118,0.233639252,0.636029123,0.001,0.000756345,29.17342347,878.9842533,0.414731003,0.191472753,0.142667105,1.301357757,-0.047718421,0.736581351
imagenet,resnet152,0.78312,0.833140329,0.227224947,0.593038186,0.001,0.000769619,29.32115976,886.0009797,0.394234711,0.192363734,0.145626223,1.312754813,-0.032840553,0.749941808
imagenet,vgg16,0.71592,0.739818702,0.276212771,0.978698589,0.001,0.000653913,27.85452786,819.4996512,0.578515289,0.183340233,0.120119806,1.223743022,-0.149388357,0.636809186
imagenet,vgg19,0.72376,0.747226892,0.273881424,0.948216173,0.001,0.000663317,27.96492443,824.4546044,0.562411926,0.184005604,0.122208804,1.228545588,-0.142806891,0.645406509
imagenet,alexnet,0.56522,0.583004513,0.309205396,1.724174694,0.001,0.000469393,25.23342944,705.8550424,0.851946455,0.16208031,0.081647419,1.093743452,-0.308164882,0.466853696
imagenet,resnext,0.8283,0.428752084,0.166874205,4.251528581,0.001,0.000217844,29.33764652,887.5040128,0.482356813,0.100495266,0.040906029,1.322979138,-0.019410976,0.384035663
imagenet,wide_resnet,0.82514,0.700081314,0.189604014,2.159047324,0.001,0.000538056,29.83037538,909.9107214,0.357064005,0.157389466,0.102992003,1.350737584,0.020068242,0.642340599
imagenet,densenet121,0.74434,0.767284722,0.258840489,0.882588211,0.001,0.000683737,28.41461543,844.4648362,0.529666694,0.186161365,0.126617543,1.256266903,-0.108287572,0.669478601
imagenet,googlenet,0.69778,0.635155229,0.297652802,1.82912918,0.001,0.0005182,26.93198174,779.6531255,0.712890193,0.163057313,0.093817423,1.181155001,-0.206316951,0.534312258
imagenet,mobilenet,0.72156,0.348609397,0.244050349,4.325279622,0.001,0.000191286,25.12410796,706.4937952,0.921599928,0.095081556,0.033876392,1.124009566,-0.272742512,0.284552156
imagenetv2-matched-frequency-format-val,resnet50,0.6987,0.352270033,0.179735228,4.56625453,0.001,0.000164211,27.11946026,788.874484,0.735723815,0.09115988,0.029536034,1.20279673,-0.178874232,0.29634345
imagenetv2-matched-frequency-format-val,resnet18,0.5729,0.639272498,0.296609085,1.441257365,0.001,0.000531561,26.28874831,749.2566155,0.765070493,0.171758976,0.093870677,1.126451715,-0.269917832,0.520497631
imagenetv2-matched-frequency-format-val,resnet34,0.6101,0.690219997,0.285889775,1.207749684,0.001,0.000591143,27.12904489,786.3525908,0.675180371,0.178248222,0.106448457,1.174454221,-0.211242918,0.577236498
imagenetv2-matched-frequency-format-val,resnet101,0.6554,0.758690596,0.263522723,0.902891644,0.001,0.00067471,28.22240623,835.3345742,0.545389035,0.185790755,0.124485117,1.242062503,-0.12612994,0.656763627
imagenetv2-matched-frequency-format-val,resnet152,0.6698,0.765705868,0.261633081,0.86769116,0.001,0.000684297,28.29533025,838.5009891,0.530968487,0.186615983,0.126555316,1.243824525,-0.124692015,0.664530393
imagenetv2-matched-frequency-format-val,vgg16,0.5881,0.655315818,0.297754492,1.34919137,0.001,0.000552681,26.45908465,757.0950812,0.735768243,0.173877753,0.098310416,1.142520501,-0.25271079,0.538644105
imagenetv2-matched-frequency-format-val,vgg19,0.597,0.664410644,0.296070553,1.314395859,0.001,0.000563121,26.64683469,765.3235795,0.718209553,0.174780492,0.100608763,1.155128051,-0.238894934,0.549346023
imagenetv2-matched-frequency-format-val,alexnet,0.4351,0.502126168,0.305139355,2.114341177,0.001,0.000380854,23.68594243,640.0356075,0.985027607,0.150140659,0.063540255,1.025332561,-0.389365976,0.381484604
