,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
0,imagenetsketch,vgg19,0.544396262,0.348204726,0.0021765409999999763,-1.7867274869999998,0.0,0.00039559299999999996,5.9971109899999995,258.57728629999997,-0.576146616,0.051692663,0.08086096100000001,0.28996103900000003,0.36293803599999996,0.36861779599999994
8,imagenetsketch,alexnet,0.4580301239999999,0.24761873899999998,0.08447610800000002,-1.2324868519999999,0.0,0.000271382,4.582495529999999,195.9256257,-0.3933520479999999,0.03887029800000001,0.054318635000000004,0.20842399600000006,0.254817971,0.25380002199999996
20,imagenetsketch,resnext,0.502682504,0.16059980699999998,-0.01508230399999999,-0.573785526,0.0,0.000102091,5.394203529999999,237.02055470000005,-0.538105483,0.019157496999999996,0.021895910999999997,0.28146661000000006,0.359713322,0.18284751400000002
21,imagenetsketch,wide_resnet,0.49274330899999996,0.251954021,-0.06261813700000002,-1.2084562230000002,0.0,0.000253768,4.370855599999999,197.93328810000003,-0.529626032,0.03200599600000001,0.053612395,0.259414217,0.34587732600000004,0.28818642999999994
22,imagenetsketch,densenet121,0.501860976,0.323025415,-0.025358164000000016,-1.656831689,0.0,0.00037153500000000004,5.316269380000001,231.96821320000004,-0.5330428420000001,0.04678453399999999,0.076301905,0.26781690299999994,0.338193286,0.346956274
23,imagenetsketch,googlenet,0.46722842899999995,0.339163723,0.04517261899999997,-2.1001691559999998,0.0,0.000345808,6.300147970000001,262.47271579999995,-0.48774889900000007,0.063762864,0.06676151599999999,0.266283375,0.32046898999999995,0.329577828
24,imagenetsketch,mobilenet,0.5219372769999999,0.224234939,0.103557011,-1.2963036580000002,0.0,0.000149386,8.388807190000001,327.9269841,-0.4353900369999999,0.04731999,0.027830887,0.29007086700000007,0.33986849500000005,0.207112655
46,imagenetv2-matched-frequency-format-val,resnet50,0.10985999999999996,0.044535088,-0.0031308929999999957,-0.18823051800000012,0.0,3.1189000000000016e-05,1.3454580199999988,59.65386509999996,-0.13642750799999992,0.005638035999999999,0.0065566409999999985,0.07276651000000012,0.096382206,0.05057417599999997
47,imagenetv2-matched-frequency-format-val,resnet18,0.12468000000000001,0.08090497200000002,-0.016452838999999997,-0.35730987299999994,0.0,9.630800000000003e-05,1.3346659900000013,59.902932100000044,-0.14865741199999993,0.009150488999999984,0.020690663999999998,0.08324262000000004,0.10310588900000003,0.09399053800000001
48,imagenetv2-matched-frequency-format-val,resnet34,0.12304000000000004,0.07758380099999995,-0.02595149499999999,-0.3335819389999999,0.0,9.428799999999999e-05,1.2632930000000009,56.99028939999994,-0.148210615,0.00803283199999999,0.020530928000000004,0.08008596000000012,0.09908562,0.09215729900000003
